Dizionario per immagini                                                                                                
lezione                                                                                                                              
Grupo 3
a tarde                                                                     - il pomeriggio                                                     
um euro                                                                     - un euro                                                           
dois euros                                                                  - due euro                                                          
cinco euros                                                                 - cinque euro                                                       
dez euros                                                                   - dieci euro                                                        
vinte euros                                                                 - venti euro                                                        
cinquenta euros                                                             - cinquanta euro                                                    
cem euros                                                                   - cento euro                                                        
duzentos euros                                                              - duecento euro                                                     
quinhentos euros                                                            - cinquecento euro                                                  
Grupo 33a
no banco                                                                    - la banca                                                          
o balcão                                                                    - lo sportello                                                      
o caixa                                                                     - il cassiere                                                       
o caixa eletrônico                                                          - lo sportello bancomat                                             
o guarda                                                                    - la guardia                                                        
Grupo 34
o farmacêutico                                                              - il farmacista                                                     
o mecânico                                                                  - il meccanico                                                      
o barbeiro                                                                  - il barbiere                                                       
o alfaiate                                                                  - il sarto                                                          
o verdureiro                                                                - il fruttivendolo                                                  
o chef pasteleiro                                                           - il pasticcere                                                     
o oftalmologista                                                            - l'oculista                                                        
o cabeleireiro                                                              - la parrucchiera                                                   
a florista                                                                  - il fiorista                                                       
o joalheiro                                                                 - il gioielliere                                                    
o açougueiro                                                                - il macellaio                                                      
o encanador                                                                 - l'idraulico                                                       
o carpinteiro                                                               - il falegname                                                      
o jardineiro                                                                - il giardiniere                                                    
o ferreiro                                                                  - il fabbro                                                         
o eletricista                                                               - l'elettricista                                                    
o pintor de casas                                                           - l'imbianchino                                                     
a empregada                                                                 - la donna di servizio                                              
o zelador                                                                   - il bidello                                                        
o entregador                                                                - il fattorino                                                      
o trabalhador                                                               - l'operaia                                                         
o fotógrafo                                                                 - il fotografo                                                      
o modelo                                                                    - la modella                                                        
o disc jockey                                                               - il disc jockey                                                    
a vendedora                                                                 - la commessa                                                       
o funcionário do banco                                                      - l'impiegato di banca                                              
o caixa                                                                     - la cassiera                                                       
o ator                                                                      - l'attore                                                          
o sapateiro                                                                 - il calzolaio                                                      
o limpador de rua                                                           - il netturbino                                                     
o peixeiro                                                                  - il pescivendolo                                                   
o bombeiro                                                                  - il pompiere                                                       
o jornaleiro                                                                - il giornalaio                                                     
o motorista do caminhão                                                     - il camionista                                                     
o motorista de táxi                                                         - il taxista                                                        
o soldador                                                                  - il saldatore                                                      
o marinheiro                                                                - il marinaio                                                       
o pedreiro                                                                  - il muratore                                                       
o engenheiro                                                                - l'ingegnere                                                       
o jornalista                                                                - il giornalista                                                    
o goleiro                                                                   - il portiere                                                       
o escritor                                                                  - lo scrittore                                                      
Grupo 35
a discoteca                                                                 - la discoteca                                                      
o teatro                                                                    - il teatro                                                         
o cinema                                                                    - il cinema                                                         
a biblioteca                                                                - la biblioteca                                                     
o balé                                                                      - il balletto                                                       
a cervejaria                                                                - la birrerial                                                      
o bar                                                                       - il bar                                                            
a piscina                                                                   - la piscina                                                        
ii concerto rock                                                            - ii concerto rock                                                  
a academia                                                                  - la palestra                                                       
a pizzaria                                                                  - la pizzeria                                                       
a festa                                                                     - la festa                                                          
Grupo 36
a coleção de selos                                                          - la collezione di francobolli                                      
a coleção de moedas                                                         - la collezione di monete                                           
para a foto                                                                 - la fotografia                                                     
o objetivo                                                                  - l'obiettivo                                                       
flash                                                                       - il flash                                                          
o rolo de filme                                                             - il rullino                                                        
o projetor de slides                                                        - il proiettore di diapositive                                      
o diapositivo                                                               - le diapositive                                                    
a câmera de vídeo                                                           - la videocamera                                                    
astronomia                                                                  - l'astronomia                                                      
o telescópio                                                                - il telescopio                                                     
observação de pássaros                                                      - il bird-watching                                                  
o telescópio                                                                - il cannocchiale                                                   
pesca                                                                       - la pesca                                                          
o barril                                                                    - la canna                                                          
eu amo ela                                                                  - l'amo                                                             
a linha de pesca                                                            - la lenza                                                          
o flutuador                                                                 - il galleggiante                                                   
a caça                                                                      - la caccia                                                         
a pintura                                                                   - la pittura                                                        
a escultura                                                                 - la scultura                                                       
cerâmica                                                                    - la ceramica                                                       
tricô                                                                       - il lavoro a maglia                                                
de costura                                                                  - il cucito                                                         
a máquina de costura                                                        - la macchina da cucire                                             
lago                                                                        - l'ago                                                             
o fio                                                                       - il filo                                                           
o bordado                                                                   - il ricamo                                                         
a cozinha                                                                   - la cucina                                                         
jardinagem                                                                  - il giardinaggio                                                   
a dança                                                                     - il ballo                                                          
tocar um instrumento musical                                                - suonare uno strumento musicale                                    
faça você mesmo                                                             - il fai da te                                                      
a música                                                                    - il canto                                                          
Grupo 37
o violino                                                                   - il violino                                                        
a guitarra                                                                  - la chitarra                                                       
o saxofone                                                                  - il sassofono                                                      
o contrabaixo                                                               - il contrabbasso                                                   
a harpa                                                                     - l'arpa                                                            
a flauta                                                                    - il flauto                                                         
a gaita                                                                     - l'armonica                                                        
o tambor                                                                    - il tamburo                                                        
o piano                                                                     - il pianoforte                                                     
o acordeão                                                                  - la fisarmonica                                                    
a trombeta                                                                  - la tromba                                                         
o trombone                                                                  - il trombone                                                       
a bateria                                                                   - la batteria                                                       
Grupo 38
o martelo                                                                   - il martello                                                       
a colheita                                                                  - la sega                                                           
a braçadeira                                                                - la pinza                                                          
a chave de fenda                                                            - il cacciavite                                                     
o rápido                                                                    - la vite                                                           
o parafuso                                                                  - il bullone                                                        
o dado                                                                      - il dado                                                           
o prego                                                                     - il chiodo                                                         
o medidor                                                                   - il metro                                                          
o aperto                                                                    - la morsa                                                          
Grupo 39
comer                                                                       - mangiare                                                          
beber                                                                       - bere                                                              
servir                                                                      - servire                                                           
colocar em ordem                                                            - ordinare                                                          
colocar a mesa                                                              - apparecchiare                                                     
o cardápio                                                                  - il menu                                                           
a carta de vinhos                                                           - la lista dei vini                                                 
o garçom                                                                    - il cameriere                                                      
o cozinheiro                                                                - il cuoco                                                          
a conta                                                                     - il conto                                                          
pagar                                                                       - pagare                                                            
colocar no caixa                                                            - incassare                                                         
Grupo 40
o saca-rolhas                                                               - il cavatappi                                                      
a tampa                                                                     - il tappo                                                          
o vinho                                                                     - il vino                                                           
o vinho espumante                                                           - lo spumante                                                       
a cerveja                                                                   - la birra                                                          
chopeira                                                                    - la spina                                                          
o barman                                                                    - il barista                                                        
o licor                                                                     - il liquore                                                        
base para copo                                                              - il sottobicchiere                                                 
o cinzeiro                                                                  - il portacenere                                                    
o isqueiro                                                                  - l'accendino                                                       
o cigarro                                                                   - la sigaretta                                                      
a garçonete                                                                 - la cameriera                                                      
a bandeja                                                                   - il vassoio                                                        
canudo                                                                     - la cannuccia                                                      
o juke                                                                      - il juke                                                           
açúcar                                                                      - lo zucchero                                                       
o sanduíche                                                                 - il panino                                                         
as cartas de baralho                                                        - le carte da gioco                                                 
sorvete                                                                     - il gelato                                                         
o bolo                                                                      - la torta                                                          
a máquina de café                                                           - la macchina per il caffe                                          
o chá                                                                       - il te                                                             
o expresso                                                                  - l'espresso                                                        
o cappuccino                                                                - il cappuccino                                                     
o chocolate                                                                 - la cioccolata                                                     
massas                                                                      - le paste                                                          
o brioche                                                                   - la brioche                                                        
o sanduíche                                                                 - il tramezzino                                                     
a bebida                                                                    - la bibita                                                         
suco de frutas                                                              - il succo di frutta                                                
Grupo 41
a clínica                                                                   - l'ambulatorio                                                     
o berço                                                                     - il lettino                                                        
a muleta                                                                    - la stampella                                                      
o estetoscópio                                                              - lo stetoscopio                                                    
a pasta clínica                                                             - la cartella clinical                                              
a visita médica                                                             - la visita medica                                                  
a receita                                                                   - la ricetta                                                        
o médico                                                                    - il dottore                                                        
o paciente                                                                  - il paziente                                                       
o monitor de pressão arterial                                               - il misuratore di pressione                                        
o armário de remédios                                                       - l'armadietto delle medicine                                       
Grupo 42
a broca                                                                     - il trapano                                                        
a pia                                                                       - il lavandino                                                      
o dentista                                                                  - il dentista                                                       
o assistente de saúde                                                       - l'assistente sanitaria                                            
a poltrona                                                                  - la poltrona                                                       
cárie                                                                       - la carie                                                          
o recheio                                                                   - l'otturazione                                                     
Grupo 43
a febre                                                                     - la febbre                                                         
a picada de inseto                                                          - la puntura d'insetto                                              
os arrepios                                                                 - i brividi                                                         
a dor de cabeça                                                             - il mal di testa                                                   
dor de estômago                                                             - il mal di stomaco                                                 
dor nas costas                                                              - il mal di schiena                                                 
dor de dente                                                                - il mal di denti                                                   
pressão alta                                                                - la pressione alta                                                 
o resfriado                                                                 - il raffreddore                                                    
dor de garganta                                                             - il mal di gola                                                    
o deslocamento                                                              - la slogatura                                                      
o corte                                                                     - il taglio                                                         
o hematoma                                                                  - il livido                                                         
a queimadura                                                                - la bruciatura                                                     
a fratura                                                                   - la frattura                                                       
problemas de visão                                                          - i problemi della vista                                            
Grupo 44
ficar doente                                                                - ammalarsi                                                         
cura                                                                        - curare                                                            
vacinação                                                                   - vaccinare                                                         
consulta medica                                                             - visitare                                                          
sentir-se mal                                                               - stare male                                                        
para se sentir bem                                                          - stare bene                                                        
curar                                                                       - guarire                                                           
prescrever                                                                  - prescrivere                                                       
hospitalizar                                                                - ricoverare                                                        
pronto socorro                                                              - pronto soccorso                                                   
Grupo 45
a bolsa de gelo                                                             - la borsa del ghiaccio                                             
a pílula                                                                    - la pillola                                                        
a injeção                                                                   - l'iniezione                                                       
a pomada                                                                    - la pomata                                                         
o colírio                                                                   - il collirio                                                       
o xarope para o                                                             - lo sciroppo per la                                                
os óculos                                                                   - gli occhiali                                                      
lentes de contato                                                           - le lenti a contatto                                               
Grupo 46
a pessoa doente                                                             - il malato                                                         
a sala de emergência                                                        - il pronto soccorso                                                
a fasixa                                                                    - la fascial                                                        
o patch                                                                     - il cerotto                                                        
o gesso                                                                     - il gesso                                                          
a maca                                                                      - la barella                                                        
os pontos                                                                   - i punti                                                           
o desinfetante                                                              - il disinfettante                                                  
algodão                                                                     - il cotone                                                         
a bandagem                                                                  - la benda                                                          
agulha                                                                        - l'ago                                                             
a seringa                                                                   - la siringa                                                        
a enfermeira                                                                - l'infermiere                                                      
o médico de plantão                                                         - il medico di guardia                                              
o radiologista                                                              - il radiologo                                                      
na radiografia                                                              - la radiografia                                                    
a sala de cirurgia                                                          - la sala operatoria                                                
o cirurgião                                                                 - il chirurgo                                                       
a operação cirúrgica                                                        - l'operazione chirurgica                                           
o laboratório de análise                                                    - il laboratorio d'analisi                                          
o exame de sangue                                                           - l'analisi del sangue                                              
Grupo 47
o mapa                                                                      - la cartina                                                        
a calculadora                                                               - la calcolatrice                                                   
o professor                                                                 - l'insegnante                                                      
a cadeira                                                                   - la cattedra                                                       
o quadro negro                                                              - la lavagna                                                        
o aluno                                                                     - la studentessa                                                    
a borracha                                                                  - il cancellino                                                     
o giz                                                                       - il gesso                                                          
o desenho                                                                   - il disegno                                                        
folhas                                                                      - i fogli                                                           
o caderno                                                                   - il quaderno                                                       
o banco                                                                     - il banco                                                          
alunos                                                                      - lo studenter                                                      
o apontador de lápis                                                        - il tempera matite                                                 
a borracha                                                                  - la gomma                                                          
a caneta                                                                    - la penna                                                          
a equipe                                                                    - la squadra                                                        
o lápis                                                                     - la matita                                                         
o livro                                                                     - il libro                                                          
Grupo 48
levante a mão                                                               - alzare la mano                                                    
apagar                                                                      - cancellare                                                        
falar                                                                       - parlare                                                           
ler                                                                         - leggere                                                           
perguntar                                                                   - chiedere                                                          
responder                                                                   - rispondere                                                        
ouvir                                                                       - ascoltare                                                         
escrever                                                                    - scrivere                                                          
digitar                                                                     - scrivere a macchina                                               
desenhar                                                                    - disegnare                                                         
entrar                                                                      - entrare                                                           
sair                                                                        - uscire                                                            
Grupo 49
o ar condicionado                                                           - l'aria condizionata                                               
o gabinete                                                                  - l'armadietto                                                      
a máquina de escrever                                                       - la macchina da scrivere                                           
os pinos                                                                    - le puntine                                                        
o porta-canetas                                                             - il portapenne                                                     
o colecionador                                                              - il raccoglitore                                                   
a tela                                                                      - lo schermo                                                        
a impressora                                                                - la stampante                                                      
a mesa                                                                      - la scrivania                                                      
as gavetas                                                                  - i cassetti                                                        
mouse                                                                      - il mouse                                                          
o teclado                                                                   - la tastiera                                                       
o computador                                                                - il computer                                                       
Grupo 50
o carteiro                                                                  - il portalettere                                                   
o selo                                                                      - il francobollo                                                    
a carta                                                                     - la lettera                                                        
o telegrama                                                                 - il telegramma                                                     
a carta registrada                                                          - la raccomandata                                                   
o pacote                                                                    - il pacco                                                          
o cartão postal                                                             - la cartolina                                                      
o expresso                                                                  - l'espresso                                                        
o envelope                                                                  - la busta                                                          
a carta pelo ar                                                             - la lettera via aerea                                              
o destinatário                                                              - il destinatario                                                   
o endereço                                                                  - l'indirizzo                                                       
o código postal                                                             - il codice postale                                                 
o remetente                                                                 - il mittente                                                       
Grupo 51
basquetebol                                                                 - la pallacanestro                                                  
beisebol                                                                    - il baseball                                                       
a luta                                                                      - la lotta                                                          
ele pratica windsurf                                                        - il windsurf                                                       
levantamento de peso                                                        - il sollevamento pesi                                              
bob                                                                        - il bob                                                            
surf                                                                        - il surf                                                           
arco e flecha                                                               - il tiro con l'arco                                                
natação                                                                     - il nuoto                                                          
boliche                                                                     - il bowling                                                        
